name,images,price,links
Kem dưỡng peptide Ocean Peptide Cream,['https://hderma.vn/wp-content/uploads/2026/04/peptide-cream-nen-trang-430x430.png'],2.500.000 ₫,https://hderma.vn/kem-duong-peptide-ocean-peptide-cream/
Kem chấm mụn đa cơ chế hỗ trợ giảm mụn và làm dịu da H.Derma Pro Sulfur Microbalance Spot,['https://hderma.vn/wp-content/uploads/2026/04/ChatGPT-Image-13_37_30-18-thg-4-2026-430x430.png'],350.000 ₫,https://hderma.vn/kem-cham-mun-hderma-pro-sulfur-microbalance-spot/
Tinh chất cân bằng & làm dịu da H.Derma Rebalance Essence,['https://hderma.vn/wp-content/uploads/2026/04/TONER-LOI-KHUAN-430x430.png'],1.200.000 ₫,https://hderma.vn/tinh-chat-can-bang-lam-diu-da-h-derma-rebalance-essence/
Kem chấm mụn đa cơ chế hỗ trợ giảm mụn & làm dịu da H.Derma Pro Sulfur Microbalance Spot,['https://hderma.vn/wp-content/uploads/2026/04/z7738725634998_f35e07b07c773084cd7a3d4486df6024-430x430.png'],650.000 ₫,https://hderma.vn/kem-cham-mun-da-co-che-ho-tro-giam-mun-lam-diu-da-h-derma-pro-sulfur-microbalance-spot/
Serum hỗ trợ phục hồi và làm dịu da cao cấp Đồng Peptide Copper Bio Active Serum,['https://hderma.vn/wp-content/uploads/2026/04/nen-trang-peptide-430x430.png'],3.000.000 ₫,https://hderma.vn/serum-ho-tro-phuc-hoi-va-lam-diu-da-cao-cap-dong-peptide-copper-bio-active-serum/
Tinh chất hỗ trợ làm giảm mụn H.Derma Biomecare BHA Toner,['https://hderma.vn/wp-content/uploads/2026/04/Hop-va-chai-toner-BHA-Biomecare-430x430.png'],1.000.000 ₫,https://hderma.vn/tinh-chat-dong-peptide-ho-tro-phuc-hoi-va-tai-tao-copper-bio-active-serum/
Serum Superox C dưỡng sáng da Vitamin C Niosome,['https://hderma.vn/wp-content/uploads/2026/04/VITAMIN-C-nen-trang-430x430.png'],3.000.000 ₫,https://hderma.vn/serum-duong-sang-da-vitamin-c-niosome/
Hỗ trợ quá trình phục hồi da H.Derma D.352 Serum premium 5% B5,['https://hderma.vn/wp-content/uploads/2026/04/Serum-H.Derma-Premium-5-B5-430x430.png'],800.000 ₫,https://hderma.vn/ho-tro-qua-trinh-phuc-hoi-da-serum-premium-5-b5/
Hỗ trợ giảm thâm nám và dưỡng sáng da H.Derma T.403 Serum Complex 20% B3,['https://hderma.vn/wp-content/uploads/2026/04/resized_mockup.png'],800.000 ₫,https://hderma.vn/serum-ho-tro-giam-tham-nam-duong-sang-da-complex-20-b3/
Serum cấp ẩm làm dịu da D.502 H.DERMA HA COMPLEX FACE SERUM,['https://hderma.vn/wp-content/uploads/2026/04/Serum-duong-da-H.Derma-HA-Complex-8-430x430.png'],1.000.000 ₫,https://hderma.vn/serum-cap-am-lam-diu-da-ha-complex-face-serum/
Cấy trắng DNA cá hồi S.902 H.Derma Face Brightening Mask,"['https://hderma.vn/wp-content/uploads/2025/07/cay-trang-dna-s920-4-430x491.webp', 'https://hderma.vn/wp-content/uploads/2025/07/cay-trang-dna-s920-4-430x491.webp']",2.000.000 ₫,https://hderma.vn/cay-trang-dna-ca-hoi-s902/
Kem dưỡng trắng da body B3 H.Derma S.601 Body Whitening Cream,"['https://hderma.vn/wp-content/uploads/2025/07/kem-duong-trang-da-body-b3-S601-1-430x491.webp', 'https://hderma.vn/wp-content/uploads/2025/07/kem-duong-trang-da-body-b3-S601-1-430x491.webp']",1.500.000 ₫,https://hderma.vn/kem-duong-trang-da-body-b3-s601/
Ủ trắng body B3 H.Derma S.901 Body Whitening Mask,"['https://hderma.vn/wp-content/uploads/2025/07/u-trang-body-s901-1-430x491.webp', 'https://hderma.vn/wp-content/uploads/2025/07/u-trang-body-s901-1-430x491.webp']",800.000 ₫,https://hderma.vn/u-trang-body-b3-s901/
Peel vi kim bọt biển S.102 H.Derma Bio Spicule,['https://hderma.vn/wp-content/uploads/2025/07/Mockup-vi-kim-biospicule-430x430.png'],2.500.000 ₫,https://hderma.vn/peel-vi-kim-bot-bien-t102/
Toner cấp ẩm làm dịu S.400 H.Derma Balance pH Microbiome Essence,"['https://hderma.vn/wp-content/uploads/2025/03/H.Derma-Balance-1-430x491.jpg', 'https://hderma.vn/wp-content/uploads/2025/03/H.Derma-Balance-1-430x491.jpg']",700.000 ₫,https://hderma.vn/toner-cap-am-lam-diu-s400/
Gel làm dịu và giảm kích ứng S.900 H.Derma Guaiazulene Hydrating Gel Mask,"['https://hderma.vn/wp-content/uploads/2025/03/S.900-H.Derma-Guaiazulene-1-430x491.jpg', 'https://hderma.vn/wp-content/uploads/2025/03/S.900-H.Derma-Guaiazulene-1-430x491.jpg']",800.000 ₫,https://hderma.vn/gel-lam-diu-va-giam-kich-ung-s900/
Cấy trắng DNA cá hồi S.902 H.Derma Face Brightening Mask,"['https://hderma.vn/wp-content/uploads/2025/07/cay-trang-dna-s920-4.webp', 'https://hderma.vn/wp-content/uploads/2025/07/cay-trang-dna-s920-4.webp']",2.000.000 ₫,https://hderma.vn/cay-trang-dna-ca-hoi-s902/
Gel làm dịu và giảm kích ứng D.702 H.Derma Guaiazulene Hydrating Gel Mask,"['https://hderma.vn/wp-content/uploads/2025/03/H.Derma-Guaiazulene-1.jpg', 'https://hderma.vn/wp-content/uploads/2025/03/H.Derma-Guaiazulene-1.jpg']",200.000 ₫,https://hderma.vn/gel-lam-diu-va-giam-kich-ung-d702/
Gel làm dịu và giảm kích ứng S.900 H.Derma Guaiazulene Hydrating Gel Mask,"['https://hderma.vn/wp-content/uploads/2025/03/S.900-H.Derma-Guaiazulene-1.jpg', 'https://hderma.vn/wp-content/uploads/2025/03/S.900-H.Derma-Guaiazulene-1.jpg']",800.000 ₫,https://hderma.vn/gel-lam-diu-va-giam-kich-ung-s900/
Hỗ trợ giảm thâm nám và dưỡng sáng da H.Derma T.403 Serum Complex 20% B3,['https://hderma.vn/wp-content/uploads/2026/04/resized_mockup.png'],800.000 ₫,https://hderma.vn/serum-ho-tro-giam-tham-nam-duong-sang-da-complex-20-b3/
,['https://hderma.vn/wp-content/uploads/2026/04/Serum-H.Derma-Premium-5-B5.png'],,https://hderma.vn/ho-tro-qua-trinh-phuc-hoi-da-serum-premium-5-b5/
,"['https://hderma.vn/wp-content/uploads/2024/04/hop-h-derma-50-aha-peel-5-chai-10ml-1-1.webp', 'https://hderma.vn/wp-content/uploads/2024/04/hop-h-derma-50-aha-peel-5-chai-10ml-1-1.webp']",,https://hderma.vn/hop-h-derma-50-aha-peel-5-chai-10ml/
,['https://hderma.vn/wp-content/uploads/2026/04/z7738725634998_f35e07b07c773084cd7a3d4486df6024.png'],,https://hderma.vn/kem-cham-mun-da-co-che-ho-tro-giam-mun-lam-diu-da-h-derma-pro-sulfur-microbalance-spot/
,['https://hderma.vn/wp-content/uploads/2026/04/ChatGPT-Image-13_37_30-18-thg-4-2026.png'],,https://hderma.vn/kem-cham-mun-hderma-pro-sulfur-microbalance-spot/
,['https://hderma.vn/wp-content/uploads/2026/04/peptide-cream-nen-trang.png'],,https://hderma.vn/kem-duong-peptide-ocean-peptide-cream/
,"['https://hderma.vn/wp-content/uploads/2025/07/kem-duong-trang-da-body-b3-S601-1.webp', 'https://hderma.vn/wp-content/uploads/2025/07/kem-duong-trang-da-body-b3-S601-1.webp']",,https://hderma.vn/kem-duong-trang-da-body-b3-s601/
,"['https://hderma.vn/wp-content/uploads/2024/08/S.600-H.DERMA-COLLAGEN-MASSAGE-CREAM-01.webp', 'https://hderma.vn/wp-content/uploads/2024/08/S.600-H.DERMA-COLLAGEN-MASSAGE-CREAM-01.webp']",,https://hderma.vn/kem-massage-cap-am-nang-co-s-600-h-derma-collagen-massage-cream/
,"['https://hderma.vn/wp-content/uploads/2023/10/MELTING-MASK_1.webp', 'https://hderma.vn/wp-content/uploads/2023/10/MELTING-MASK_1.webp']",,https://hderma.vn/mat-na-thach-phuc-hoi-cang-bong-d701-melting-mask/
